s#,sname,sex,height,bdate,dorm
22333576,陈芷丽,女,1.68,2003-03-09,东 15 舍 430
39286350,王芷丽,女,1.58,2002-07-27,东 22 舍 419
30006715,姜柳,女,1.72,2005-07-09,东 22 舍 615
27612226,毛明泉,男,1.73,2007-04-21,西 1 舍 205
17807675,钱素卿,女,1.65,2004-02-28,西 12 舍 630
12077005,覃荷菲,女,1.68,2003-03-25,东 10 舍 706
17306886,王浚梓,男,1.67,2006-09-30,西 6 舍 210
24062614,范宁,女,1.67,2005-03-27,东 11 舍 521
20122448,阎庆星,男,1.81,2005-11-12,西 8 舍 721
26908640,张超,女,1.6,2006-02-21,东 20 舍 103
21609864,邵浩泽,男,1.67,2005-04-07,西 7 舍 225
36880302,牟宛晴,女,1.64,2005-12-29,东 23 舍 821
43092780,张奕宗,男,1.8,2004-09-20,西 15 舍 703
47501769,李永茂,男,1.84,2006-09-01,西 11 舍 618
46142376,张滨义,男,1.71,2005-01-13,东 17 舍 315
24483285,盛祯卓,男,1.76,2006-11-03,西 15 舍 304
24088158,林怀盈,女,1.59,2006-03-04,东 5 舍 512
47313720,李碧恬,女,1.57,2005-12-15,东 8 舍 214
15165364,谢玫,女,1.66,2003-04-17,西 22 舍 118
43261855,康嘉,男,1.85,2005-07-14,东 4 舍 409
10729043,李纹窈,女,1.56,2005-06-03,东 8 舍 704
44431659,廖韬,男,1.76,2006-12-10,东 24 舍 526
44675874,杨铭锵,男,1.73,2003-03-02,西 15 舍 803
24325421,刘新菱,女,1.6,2007-04-19,东 18 舍 827
47497270,王杉哲,男,1.86,2003-08-31,西 20 舍 509
12881319,周源泽,男,1.8,2003-11-14,西 2 舍 612
46896833,黄夏怡,女,1.57,2003-04-06,东 19 舍 319
12129157,魏慕鸿,男,1.76,2005-09-26,东 19 舍 129
33875148,简凉,女,1.62,2003-03-18,西 3 舍 328
42828123,陈泉,男,1.82,2002-12-18,东 18 舍 105
25418579,袁君启,男,1.74,2003-09-20,东 15 舍 327
36618854,史德东,男,1.69,2006-12-20,西 3 舍 412
18103864,龙楚菱,女,1.65,2002-07-25,西 14 舍 715
13301231,任晨纶,男,1.76,2005-07-26,东 12 舍 615
40029099,潘兰璇,女,1.64,2003-10-12,东 5 舍 614
28060492,陈凯泽,男,1.71,2006-03-29,西 7 舍 121
34220967,韩亿,男,1.72,2006-09-27,东 11 舍 630
38177557,张雁楚,女,1.71,2007-03-21,西 20 舍 104
11256700,赵顺远,男,1.81,2006-07-17,东 4 舍 613
21214697,佟云,男,1.78,2007-02-07,西 20 舍 615
39484980,赖珅南,男,1.75,2005-06-03,西 17 舍 108
22286145,殷姝钰,女,1.65,2004-11-13,东 8 舍 719
43449256,原莉,女,1.69,2006-12-05,西 1 舍 425
12793441,卢炫灿,男,1.72,2003-02-15,东 5 舍 701
31266848,王丹,女,1.69,2002-11-04,东 13 舍 216
17166721,薛瑞若,男,1.72,2004-03-26,西 18 舍 518
11727977,席昊惟,男,1.58,2002-07-12,西 5 舍 223
17100972,杨自昊,男,1.73,2002-12-29,西 19 舍 318
38111034,王云诺,男,1.78,2003-12-15,西 2 舍 417
26723329,徐清滢,女,1.64,2003-10-20,东 19 舍 814
12060538,蒋畅裕,男,1.68,2002-12-03,西 16 舍 226
37276516,贺怡芬,女,1.54,2007-01-19,西 17 舍 105
24914207,金振,女,1.61,2002-10-29,东 6 舍 518
27577687,魏畅裕,男,1.79,2003-11-08,东 9 舍 324
12416256,王清深,男,1.75,2003-07-24,西 19 舍 330
43230824,冀云诺,男,1.71,2003-10-18,东 17 舍 611
25882386,张嘉茵,女,1.59,2004-09-23,东 14 舍 110
15949942,洪姝钰,女,1.61,2005-04-19,西 19 舍 802
12102717,王兰璇,女,1.65,2004-04-17,东 24 舍 517
45009938,王旖,男,1.81,2006-07-07,西 22 舍 607
19557428,陈泽元,男,1.76,2007-04-23,西 12 舍 604
13370401,张依彤,女,1.61,2005-01-05,东 4 舍 514
16999380,胡泽商,男,1.85,2004-05-25,西 2 舍 428
43057697,何嘉茵,女,1.6,2002-10-18,东 4 舍 511
44213584,李宛霞,女,1.62,2003-07-20,东 22 舍 512
11998625,李碧恬,女,1.61,2003-10-25,东 23 舍 206
23164010,傅松芬,女,1.66,2002-11-18,东 19 舍 703
37195212,杨君启,男,1.85,2006-08-18,西 16 舍 508
17001326,孙灏风,男,1.7,2004-09-24,西 16 舍 511
14206513,李骢,男,1.79,2006-11-03,西 13 舍 628
49770933,苏靖,女,1.65,2006-11-18,西 10 舍 730
37316200,李信霖,男,1.75,2007-05-07,西 20 舍 617
13278271,林浪,男,1.85,2004-12-10,东 19 舍 201
48100602,管珅南,男,1.64,2004-11-21,西 14 舍 513
44735155,王菡,女,1.63,2006-05-06,东 23 舍 123
17814467,吕晨纶,男,1.76,2006-12-22,西 5 舍 120
42100608,王函,男,1.82,2006-08-10,东 22 舍 613
10995702,焦妍,女,1.64,2004-10-01,西 15 舍 627
43630089,王泽若,男,1.72,2006-12-09,东 12 舍 517
40931394,张圣晨,男,1.71,2006-10-24,西 5 舍 127
42721225,萧依梅,女,1.54,2006-11-26,西 15 舍 315
16026050,余滨义,男,1.83,2006-06-24,东 17 舍 304
15748672,余顺远,男,1.69,2003-03-19,东 12 舍 824
19271866,陈铭锵,男,1.74,2005-08-26,东 23 舍 320
28087044,康璇兰,女,1.61,2003-07-03,西 20 舍 830
43857919,刘兰璇,女,1.73,2004-11-30,西 8 舍 622
34209890,王洋,男,1.69,2006-05-13,东 12 舍 209
44697617,赵浩泽,男,1.72,2003-08-19,西 8 舍 620
31418987,杨依彤,女,1.58,2006-07-28,西 17 舍 710
16094909,庞秦齐,男,1.71,2005-08-16,西 11 舍 517
40946678,祝希嫣,女,1.55,2003-08-13,东 9 舍 422
37619965,周荷菲,女,1.66,2004-03-19,东 21 舍 106
23166186,刘枫宁,女,1.57,2005-04-24,西 14 舍 419
39530184,刘滨义,男,1.66,2006-01-08,西 23 舍 306
40330131,丘碧恬,女,1.62,2007-03-15,东 23 舍 521
22125720,张佩,女,1.62,2003-06-15,西 11 舍 413
19449877,陈青波,女,1.63,2003-12-04,东 19 舍 428
36380770,戴青熙,女,1.57,2007-01-12,东 2 舍 521
27553489,季筱羽,女,1.64,2006-04-27,西 21 舍 217
21696510,曹滨义,男,1.71,2003-12-27,西 15 舍 224
11102464,冯泽若,男,1.72,2003-01-07,东 22 舍 422
20240019,程怡芬,女,1.64,2006-02-25,西 11 舍 303
28491577,王滨义,男,1.68,2003-06-16,东 3 舍 623
10803216,郑碧恬,女,1.62,2003-01-01,东 9 舍 421
13694051,高姝钰,女,1.65,2006-10-05,东 13 舍 508
32753382,高蓝,男,1.73,2005-06-22,东 9 舍 727
46543979,陈凯,男,1.81,2004-04-04,西 13 舍 120
25167621,安明泉,男,1.77,2004-08-14,西 24 舍 420
36609550,于佳禾,女,1.64,2006-08-01,西 4 舍 121
11413462,刘泽商,男,1.66,2004-11-30,东 15 舍 330
19418504,殷新菱,女,1.68,2004-06-28,东 20 舍 224
10011854,杨宛霞,女,1.63,2005-06-04,东 3 舍 120
11269472,李万信,男,1.91,2003-03-17,东 9 舍 110
19455801,王书琴,女,1.6,2004-08-14,东 16 舍 226
21559604,郭若娜,女,1.65,2005-01-07,东 12 舍 530
39335068,张康,男,1.65,2006-01-21,西 9 舍 605
28551789,王竹,男,1.72,2006-12-09,西 9 舍 101
30116532,顾葆,男,1.73,2003-03-16,西 20 舍 526
28874068,沈奕宗,男,1.81,2003-10-21,东 24 舍 301
32471312,王楚悦,女,1.61,2006-03-20,东 21 舍 203
29176823,蒋凯泽,男,1.8,2004-09-01,西 15 舍 117
42163358,陈万信,男,1.72,2003-11-21,西 18 舍 814
48812889,林雪菡,女,1.69,2005-06-28,东 16 舍 306
39112422,刘忆狄,男,1.71,2004-03-02,东 21 舍 317
32700972,孟希嫣,女,1.69,2002-12-30,东 22 舍 825
24112784,吴清滢,女,1.63,2006-08-10,西 6 舍 422
18199464,黄皓润,男,1.75,2005-07-23,东 5 舍 713
17427300,陶碧恬,女,1.63,2003-07-05,东 10 舍 224
41242230,冯荷菲,女,1.58,2006-06-04,东 5 舍 222
47026196,陶文妮,女,1.64,2004-11-01,西 20 舍 211
39198521,卢问,女,1.7,2006-04-14,西 22 舍 322
16200545,刘依梅,女,1.57,2005-01-18,东 13 舍 820
17656128,马松樱,女,1.61,2006-05-15,东 22 舍 522
46869095,吕灏风,男,1.76,2004-05-06,西 20 舍 808
43318295,黄圣晨,男,1.78,2003-09-22,东 24 舍 317
41108709,刘佩,女,1.6,2004-08-27,东 14 舍 206
31442662,杨源泽,男,1.69,2006-06-17,西 5 舍 809
33393798,薛嘉茵,女,1.79,2003-11-20,西 12 舍 521
30751003,周木,女,1.72,2005-06-08,东 18 舍 306
13595132,杨鑫,男,1.78,2006-01-10,东 20 舍 613
31166643,刘炫灿,男,1.8,2005-10-31,西 5 舍 702
23074913,覃羽,男,1.69,2002-11-04,东 13 舍 604
33042159,秦新菱,女,1.64,2002-09-21,西 18 舍 811
10631003,崔偌瑾,女,1.66,2003-11-20,东 23 舍 725
37709020,陆诤,男,1.59,2004-07-12,西 8 舍 115
34805451,刘擎,男,1.65,2006-09-05,东 13 舍 415
28274420,宋竽磊,男,1.75,2006-07-27,西 3 舍 829
46021083,罗幽,女,1.54,2004-12-19,西 18 舍 727
44440824,王雅妙,女,1.56,2004-03-20,东 22 舍 404
30440810,张秦恒,男,1.79,2005-05-11,东 11 舍 218
28544442,蒋鸣哲,男,1.79,2006-06-25,西 21 舍 607
44483180,刘文妮,女,1.56,2007-05-07,西 24 舍 629
12968998,文淼,男,1.74,2006-12-08,东 18 舍 829
21011354,马畅裕,男,1.9,2003-01-31,东 11 舍 228
16357275,李楚菱,女,1.76,2002-09-30,西 19 舍 621
47332385,李雪菡,女,1.65,2003-05-14,西 2 舍 620
40003191,夏茂,男,1.6,2006-03-09,西 19 舍 224
46167902,雷媛倚,女,1.63,2006-05-10,东 23 舍 815
32991444,张浩泽,男,1.64,2004-10-10,西 24 舍 507
30660326,罗雪菡,女,1.67,2005-02-02,东 16 舍 710
15291901,农嘉和,男,1.68,2004-11-14,东 20 舍 202
27388910,张涛,男,1.76,2004-04-02,东 15 舍 325
47886462,叶芥,女,1.59,2004-01-11,东 19 舍 312
35969456,张媱,女,1.64,2006-05-26,西 24 舍 227
17752774,戴希嫣,女,1.67,2002-10-28,东 24 舍 412
34572500,孙庆星,男,1.68,2004-03-13,东 23 舍 709
37491079,李承文,男,1.86,2005-09-25,西 3 舍 415
49828250,谢奕宗,男,1.71,2004-08-27,西 6 舍 809
26415964,萧泽若,男,1.82,2002-12-31,西 22 舍 225
45072462,席超,女,1.59,2003-10-29,东 4 舍 808
40921256,王茜,女,1.58,2004-11-24,西 19 舍 430
46966369,李纹窈,女,1.7,2007-03-28,东 10 舍 114
22823054,徐文芝,女,1.57,2002-11-07,东 24 舍 522
16187889,周秦齐,男,1.77,2006-02-02,西 21 舍 319
49651367,张祺,男,1.73,2005-01-24,西 7 舍 525
20235570,滕曦,女,1.68,2003-03-05,东 12 舍 106
28487165,王畅裕,男,1.78,2004-10-15,东 22 舍 206
27541091,李枫宁,女,1.54,2006-04-02,西 2 舍 703
10007800,张贞,女,1.59,2003-08-28,东 2 舍 820
15481305,贾贝韵,女,1.62,2005-04-11,东 9 舍 725
43634737,崔忆狄,男,1.71,2004-02-27,西 13 舍 506
48460902,傅彨,女,1.63,2006-12-03,西 10 舍 719
39790056,郁晨纶,男,1.71,2005-04-19,西 18 舍 621
27673672,陈明泉,男,1.71,2007-04-12,西 24 舍 717
12920833,郭晗,女,1.64,2002-11-04,东 11 舍 218
17984977,黄炫灿,男,1.66,2005-05-10,西 7 舍 505
10480856,宋文芝,女,1.55,2005-09-19,西 13 舍 125
13198156,郭巧,女,1.66,2006-09-19,东 20 舍 202
39652399,何珅南,男,1.64,2003-10-07,东 21 舍 404
41117458,李楚菱,女,1.62,2007-01-01,西 13 舍 613
38890613,王晨纶,男,1.6,2006-11-26,西 11 舍 309
39124019,李承彬,男,1.75,2005-04-29,东 5 舍 103
28167082,朱偌瑾,女,1.48,2004-03-22,西 4 舍 230
23989281,陶岚,女,1.49,2003-02-04,西 8 舍 521
20024352,秦书琴,女,1.63,2004-05-05,西 8 舍 818
12305955,黄晨纶,男,1.8,2005-01-18,东 22 舍 404
30783157,王瑶,女,1.61,2003-12-13,东 20 舍 716
27971787,刘宸,男,1.81,2004-06-18,西 13 舍 817
23891124,罗依彤,女,1.65,2006-04-11,西 4 舍 803
10771349,张芬,女,1.51,2006-10-14,东 8 舍 714
35833331,王雪菡,女,1.62,2005-01-06,西 7 舍 204
10030591,杜碧,女,1.51,2002-09-26,东 11 舍 608
22913025,姜德东,男,1.72,2005-06-13,西 16 舍 602
24399610,徐菊,女,1.62,2003-09-05,西 7 舍 124
21352427,郭鸣哲,男,1.75,2003-07-09,东 22 舍 426
10012685,关盛,男,1.65,2002-08-28,东 2 舍 730
49647104,孙浩泽,男,1.84,2006-07-03,东 17 舍 409
34950689,蔡德东,男,1.69,2005-09-02,西 23 舍 304
25229648,戴承彬,男,1.76,2005-12-21,西 23 舍 707
31565748,周龙,女,1.71,2003-06-16,东 19 舍 207
49565398,王毓,女,1.58,2005-03-19,西 6 舍 828
35115530,赵依梅,女,1.51,2003-07-31,西 24 舍 823
16134837,陈芷雨,女,1.56,2002-09-08,东 21 舍 521
16772605,何自昊,男,1.75,2005-08-28,西 1 舍 424
44992020,田颜,男,1.64,2003-03-05,东 10 舍 223
42553814,石松芬,女,1.61,2003-03-12,西 12 舍 717
34341049,任晴,女,1.57,2005-06-08,东 19 舍 627
44033467,苏自昊,男,1.8,2002-11-04,西 14 舍 114
15882530,赵彦,女,1.58,2002-06-22,西 16 舍 625
38366798,王松樱,女,1.67,2006-11-29,东 19 舍 401
47025997,陆怡芬,女,1.58,2005-05-29,西 16 舍 323
16624173,杨秦恒,男,1.76,2004-09-08,东 9 舍 318
41561523,任华,男,1.78,2005-11-22,东 2 舍 304
18276319,查明,男,1.67,2003-02-06,东 2 舍 706
32734517,曾夏怡,女,1.61,2007-04-03,东 15 舍 304
29146451,倪铭锵,男,1.8,2006-03-22,东 5 舍 522
41490610,萧娜,女,1.7,2006-12-02,西 9 舍 620
34581992,陈凯泽,男,1.77,2004-09-28,西 22 舍 205
42566398,陶琪纯,女,1.65,2005-09-11,东 1 舍 226
20039568,王初,男,1.72,2007-04-12,东 23 舍 204
16883563,董思杉,男,1.65,2006-06-08,西 8 舍 216
20243066,陈昶,男,1.87,2004-06-08,西 16 舍 419
44895333,赵雪菡,女,1.62,2005-05-20,东 7 舍 611
40936921,徐祯卓,男,1.77,2002-12-27,东 2 舍 528
23830626,孙芷丽,女,1.64,2002-05-19,西 4 舍 516
36323775,连畅,男,1.66,2005-12-21,西 17 舍 509
21654066,周荷菲,女,1.67,2005-01-08,东 23 舍 629
43989120,黄琦,男,1.77,2002-09-01,西 4 舍 315
29249987,孙松樱,女,1.62,2007-01-24,东 18 舍 409
11446573,黄忆狄,男,1.76,2005-03-07,东 12 舍 218
36856714,谢宸,男,1.83,2006-11-17,西 6 舍 724
29881606,李承彬,男,1.83,2004-01-27,东 4 舍 127
27300198,李媛倚,女,1.68,2005-06-30,东 10 舍 306
40439456,吴宛晴,女,1.62,2003-09-04,东 4 舍 828
23885542,张偌瑾,女,1.6,2003-08-18,东 19 舍 226
19516508,邵棋,男,1.84,2004-07-19,东 22 舍 628
13318096,林源泽,男,1.65,2004-11-01,西 10 舍 221
48561548,蔡浚梓,男,1.73,2006-04-03,东 15 舍 418
17040296,高晨纶,男,1.83,2005-03-05,西 22 舍 108
13237922,林纯,女,1.69,2005-09-03,东 5 舍 120
13250910,张木,女,1.58,2003-09-02,东 11 舍 602
39363226,张良清,男,1.73,2006-09-22,东 20 舍 729
28075530,刘生,男,1.73,2003-12-20,西 11 舍 205
44734943,魏锋玮,男,1.68,2007-02-15,西 19 舍 603
35972964,张夏怡,女,1.7,2005-04-02,东 12 舍 320
27905687,汪升,男,1.74,2007-03-11,东 10 舍 114
17103386,冯浦宇,男,1.85,2003-09-20,西 7 舍 406
17029868,李振,女,1.71,2006-10-25,东 14 舍 408
20535821,郑德东,男,1.76,2006-09-30,西 14 舍 802
12197274,骆珚,女,1.71,2002-11-07,东 4 舍 821
33629005,魏丹华,女,1.66,2007-01-10,西 3 舍 303
26037049,蒋言,男,1.78,2004-04-15,东 15 舍 709
30189648,雷纹窈,女,1.68,2003-03-06,西 3 舍 504
44831884,冀盛,男,1.72,2007-05-06,西 20 舍 304
19124770,陈自昊,男,1.69,2006-11-11,东 22 舍 310
29603179,陈源泽,男,1.86,2005-04-22,东 15 舍 525
37068462,宋昊惟,男,1.68,2005-09-11,西 14 舍 603
21228099,刘依梅,女,1.6,2007-03-27,东 23 舍 819
15703903,何承文,男,1.71,2003-01-06,东 21 舍 419
21022892,张源泽,男,1.75,2004-08-25,东 12 舍 629
42597082,郑纹珊,女,1.54,2004-09-07,西 7 舍 125
26928871,李嘉和,男,1.65,2004-02-19,西 22 舍 424
10301594,张征风,男,1.79,2002-05-24,东 3 舍 816
12902212,张昕霏,女,1.65,2003-11-03,西 18 舍 514
35235382,梁锦,女,1.61,2003-03-01,东 15 舍 525
35278629,何依清,女,1.67,2003-09-18,西 7 舍 630
29415489,袁雅妙,女,1.68,2004-08-29,西 15 舍 217
13807927,张宛晴,女,1.65,2006-06-04,东 22 舍 810
45259282,沈莎,女,1.51,2005-03-05,东 23 舍 303
34085741,曹宛晴,女,1.62,2004-01-16,东 11 舍 104
34980442,董嘉仪,女,1.53,2002-08-13,西 7 舍 128
47973444,梁至,男,1.74,2003-08-20,西 23 舍 209
23265512,王竣,男,1.8,2006-01-18,东 19 舍 215
20761046,雷嘉仪,女,1.56,2005-12-10,东 2 舍 313
45191077,李晨纶,男,1.8,2004-03-24,西 9 舍 320
48118257,赵信霖,男,1.77,2006-12-05,西 21 舍 724
40179848,黄浩泽,男,1.77,2005-06-11,东 4 舍 828
47539465,陈姝钰,女,1.61,2004-05-02,东 12 舍 215
39800333,张滨义,男,1.67,2004-02-17,西 14 舍 821
31823494,陈昕霏,女,1.52,2002-05-14,东 10 舍 108
10208626,童彩,女,1.6,2006-09-15,东 19 舍 528
39056074,郭言,男,1.86,2005-08-07,东 15 舍 201
28354539,黄兰璇,女,1.61,2005-08-22,西 24 舍 229
24406508,黄炫灿,男,1.75,2005-08-15,东 11 舍 204
10047131,曹潇,女,1.63,2006-11-13,东 24 舍 626
33003741,冯凌,女,1.65,2003-01-21,东 20 舍 601
28029063,廖畅裕,男,1.83,2004-05-30,西 4 舍 307
21553270,张文峥,男,1.77,2006-01-01,东 9 舍 402
30934186,林文峥,男,1.7,2004-11-29,西 16 舍 216
35864215,方珅南,男,1.73,2006-05-23,西 2 舍 123
29017409,周泽明,男,1.66,2006-05-29,西 20 舍 214
14625153,锺云诺,男,1.72,2003-08-06,西 8 舍 705
22256884,汪会,女,1.7,2006-06-07,西 20 舍 506
19573795,陈登,男,1.78,2005-04-30,西 23 舍 420
29764197,锺炫灿,男,1.85,2007-03-18,西 18 舍 124
21008001,高泰骞,男,1.83,2007-02-25,西 8 舍 504
44366508,张秦齐,男,1.76,2005-05-20,东 13 舍 206
23582541,蔡振,男,1.64,2006-02-03,东 3 舍 805
49442329,张昊,女,1.67,2006-04-29,东 15 舍 128
43179752,季明泉,男,1.76,2002-12-26,西 13 舍 328
29700738,郭慕巧,女,1.62,2004-03-26,西 19 舍 618
15402788,潘珺,男,1.58,2004-06-24,东 22 舍 806
37272106,王容,女,1.68,2006-08-01,东 20 舍 716
44889459,王浚梓,男,1.62,2004-05-29,东 1 舍 320
15833517,阎清滢,女,1.6,2005-09-09,东 21 舍 512
39229083,邓辰,男,1.79,2005-12-04,西 24 舍 202
41418528,李国,男,1.68,2002-12-27,东 6 舍 817
18928150,于怀盈,女,1.7,2004-12-18,西 4 舍 124
49920284,饶依清,女,1.56,2003-06-16,西 14 舍 628
47296688,戴枫宁,女,1.62,2007-03-26,东 13 舍 415
41031196,周君启,男,1.89,2004-01-08,西 19 舍 406
40418012,马雪菡,女,1.75,2003-08-12,东 14 舍 802
38070588,朱觅蕴,女,1.62,2003-08-26,西 1 舍 507
21560565,龚致,男,1.71,2002-08-16,西 7 舍 210
43521436,王杉哲,男,1.83,2005-05-28,东 16 舍 107
25082690,周良清,男,1.71,2004-04-11,西 18 舍 514
30868850,刘楚菱,女,1.69,2004-05-30,东 23 舍 527
35843261,丘秉雄,男,1.83,2005-01-12,西 12 舍 807
46443394,梁松樱,女,1.63,2003-06-28,西 7 舍 109
40051171,熊林灏,男,1.75,2006-07-18,东 15 舍 121
39194516,张姝钰,女,1.51,2003-04-11,西 21 舍 227
32452764,郑璇兰,女,1.57,2002-06-24,东 4 舍 821
28959552,杨焘,男,1.81,2006-02-12,西 2 舍 224
26364467,郭舒志,男,1.68,2006-07-09,西 16 舍 808
17087796,梁泽若,男,1.77,2006-07-25,东 1 舍 107
43068929,曹掣,男,1.84,2005-08-23,西 2 舍 419
10204897,潘文妮,女,1.52,2006-01-19,西 18 舍 115
18714202,荣行,男,1.68,2004-10-04,东 17 舍 108
38144720,陆楚悦,女,1.62,2004-08-11,西 15 舍 517
34730210,杨皓,男,1.68,2004-11-10,西 3 舍 502
18282479,吕云诺,男,1.69,2003-03-23,东 19 舍 610
30641032,马莉菲,女,1.64,2003-12-09,东 17 舍 209
35265310,阎枫宁,女,1.53,2003-08-18,西 15 舍 327
28639569,王清深,男,1.78,2005-02-10,东 22 舍 316
22648659,龙靖,男,1.86,2005-04-21,东 7 舍 325
17965979,韩州,男,1.89,2004-11-16,东 5 舍 726
29805805,徐缜,男,1.92,2003-12-20,东 17 舍 823
11331928,程征风,男,1.67,2005-09-21,西 17 舍 816
23999242,陈濯,男,1.73,2003-06-22,东 4 舍 701
26112583,吕雁楚,女,1.56,2003-06-02,西 23 舍 526
31657534,兰偌瑾,女,1.63,2005-11-06,东 14 舍 105
29312638,王顺远,男,1.8,2003-02-10,东 20 舍 515
38280749,袁清滢,女,1.67,2003-03-27,西 6 舍 113
12707183,萧全,男,1.65,2005-08-19,西 2 舍 527
19733258,李峻,男,1.8,2002-10-21,东 21 舍 526
37752676,卫铭锵,男,1.69,2006-06-27,西 4 舍 711
26003954,刘姝钰,女,1.63,2005-12-25,东 22 舍 101
31669607,李依梅,女,1.65,2006-07-24,西 15 舍 708
45805613,罗滨义,男,1.64,2007-04-17,东 20 舍 526
24010361,林立,男,1.73,2003-05-15,西 1 舍 226
49149710,邵俏,女,1.74,2006-12-03,西 12 舍 719
27025898,李碧恬,女,1.6,2002-05-15,东 12 舍 207
37764945,石熙岩,男,1.67,2005-11-06,西 8 舍 830
35757144,陈思杉,男,1.73,2007-03-02,西 24 舍 113
35077632,殷林灏,男,1.68,2005-11-08,东 21 舍 426
38488809,蔡奕,男,1.82,2003-12-03,西 16 舍 416
11984045,王宣,男,1.69,2003-10-22,东 18 舍 307
16003439,熊茜惠,女,1.45,2003-02-23,东 17 舍 602
48061855,张舒瑾,女,1.63,2003-04-24,西 7 舍 822
21066510,王炫灿,男,1.78,2006-09-16,东 13 舍 722
40782002,蔡雪菡,女,1.66,2006-09-01,西 21 舍 101
20335911,徐胜,男,1.68,2002-11-08,西 7 舍 411
11494159,刘佳禾,女,1.61,2004-05-18,西 21 舍 229
47859825,孙淼,男,1.63,2004-11-21,西 14 舍 617
43601843,叶志,男,1.66,2002-10-23,东 24 舍 407
48833374,饶茂彦,男,1.84,2005-07-24,东 18 舍 128
32491197,刘舒志,男,1.78,2006-05-11,东 9 舍 218
30331064,俞松芬,女,1.66,2006-01-10,东 2 舍 827
10217573,万怀盈,女,1.72,2006-05-18,西 17 舍 823
48415903,李秉雄,男,1.76,2007-03-20,东 19 舍 310
22817393,谭靖,男,1.71,2005-11-11,东 20 舍 325
41955722,任宛晴,女,1.58,2003-07-17,西 21 舍 429
31516464,江倩,女,1.71,2006-04-20,西 8 舍 623
25058474,李泰骞,男,1.66,2005-11-07,东 15 舍 526
28408407,卢雅惠,女,1.65,2007-04-22,西 11 舍 405
38043350,金玫,女,1.59,2003-04-10,西 5 舍 502
37383525,陈信霖,男,1.67,2006-10-02,东 21 舍 430
49682583,刘永茂,男,1.64,2005-09-26,东 9 舍 424
42469253,潘嘉仪,女,1.52,2002-12-04,西 10 舍 501
14100423,李慕鸿,男,1.85,2002-05-17,东 14 舍 523
46532935,曾云诺,男,1.86,2006-04-22,东 12 舍 425
13993626,马霄,女,1.65,2004-11-05,西 18 舍 603
24069452,李翰,男,1.85,2006-03-06,西 21 舍 211
28086900,刘莉,女,1.58,2003-05-23,西 6 舍 413
21563776,廖秦恒,男,1.7,2004-08-31,西 12 舍 408
32320576,路昕霏,女,1.56,2004-01-10,西 4 舍 318
25152059,赵宛,女,1.51,2005-09-19,东 22 舍 822
31916293,何茂彦,男,1.79,2003-08-25,东 18 舍 104
24849788,徐圣晨,男,1.75,2005-09-12,东 13 舍 318
16294195,方泽商,男,1.73,2002-12-17,东 7 舍 820
36664435,锺炫灿,男,1.72,2004-11-09,东 10 舍 127
46770485,赵嘉仪,女,1.68,2005-05-21,西 13 舍 104
44039789,管梁,男,1.63,2005-12-10,西 21 舍 825
32010349,李茜惠,女,1.69,2003-04-29,东 7 舍 318
21238470,曾源泽,男,1.87,2003-02-26,东 17 舍 621
48745920,王希嫣,女,1.65,2004-05-23,西 3 舍 520
43030249,梁魏,男,1.67,2002-09-13,西 5 舍 601
30014227,苗桓,男,1.77,2003-11-24,东 16 舍 407
25303541,陈昂,男,1.78,2004-10-19,西 4 舍 325
10965928,孙行,男,1.85,2005-03-20,西 13 舍 119
46677159,徐青熙,女,1.59,2003-07-30,西 11 舍 618
10062473,卜承彬,男,1.75,2002-05-26,西 21 舍 528
46119095,刘梓琪,女,1.62,2005-11-27,东 4 舍 516
28959871,荣觅蕴,女,1.52,2005-12-07,西 9 舍 311
38322243,曹炫灿,男,1.78,2006-09-08,东 6 舍 102
28353640,杨清深,男,1.73,2002-06-08,西 2 舍 803
15661280,孙晨纶,男,1.75,2005-02-02,西 21 舍 122
11063467,毛婉慧,女,1.59,2004-12-07,东 17 舍 206
10186390,徐青熙,女,1.51,2006-11-01,东 12 舍 518
20944572,吴亦茂,男,1.67,2005-08-13,西 18 舍 626
49614558,林贯,男,1.87,2002-08-10,西 7 舍 120
17292815,王荷菲,女,1.72,2005-09-24,东 3 舍 103
43904108,周茂彦,男,1.74,2006-06-08,东 18 舍 822
43127665,王若娜,女,1.69,2002-06-09,东 11 舍 226
47868163,张礼,男,1.7,2005-06-24,西 4 舍 413
36296526,陈青熙,女,1.55,2005-02-06,西 14 舍 427
40242441,刘听,女,1.73,2005-03-09,西 12 舍 828
43936808,陈泰骞,男,1.77,2006-08-01,西 4 舍 609
41182720,姬鸣哲,男,1.76,2006-03-29,西 22 舍 121
36203819,刘雪菡,女,1.59,2004-06-10,西 12 舍 803
11463063,刘悦,女,1.68,2005-09-22,东 22 舍 329
29597043,黄祯卓,男,1.79,2006-06-05,西 9 舍 723
41488115,刘泰骞,男,1.86,2005-09-24,东 9 舍 421
36958403,张佳,女,1.59,2003-08-26,东 24 舍 823
45219220,雷梅,女,1.52,2004-05-28,西 23 舍 423
10974514,陈觅蕴,女,1.69,2005-09-05,东 2 舍 827
47902113,李嘉茵,女,1.65,2006-12-19,东 10 舍 321
23643225,江楚菱,女,1.64,2007-04-04,东 17 舍 603
28269065,刘舒瑾,女,1.53,2005-11-17,东 13 舍 726
22536682,彭若,女,1.66,2004-02-25,东 14 舍 303
15495287,韩媛,女,1.71,2006-02-06,西 5 舍 118
